STOP_NAME,longitude,latitude
41-Empress Rd/Balaclava Rd (St Kilda East),145.00158281464144,-37.86969283726433
42-Sidwell Ave/Balaclava Rd (Caulfield North),145.00532284802554,-37.87015282801734
43-Orrong Rd/Balaclava Rd (Caulfield North),145.00847176193034,-37.870539828622796
44-Ontario St/Balaclava Rd (Caulfield North),145.01236876175886,-37.87105588907435
45-Lumeah Rd/Balaclava Rd (Caulfield North),145.0147379249035,-37.871330839217144
46-Kooyong Rd/Balaclava Rd (Caulfield North),145.01762692898635,-37.871712889386245
47-Elmhurst Rd/Balaclava Rd (Caulfield North),145.0211048942057,-37.87213183956005
51-Hawthorn Rd/Balaclava Rd (Caulfield North),145.02443597957136,-37.87255681970818
52-Caulfield Park Bowling Club/Balaclava Rd (Caulfield North),145.02855006473578,-37.873067840656084
53-Caulfield Park/Balaclava Rd (Caulfield North),145.03125798787735,-37.873382841375445
54-Kambrook Rd/Balaclava Rd (Caulfield North),145.03582495313447,-37.87394588262624
55-Normanby Rd/Balaclava Rd (Caulfield North),145.03770595527604,-37.87418483315475
56-Caulfield Racecourse/Normanby Rd (Caulfield North),145.0394019164355,-37.875402893678434
57-Caulfield Railway Station/Derby Rd (Caulfield East),145.04168287112952,-37.87638686317964
58-Dandenong Rd/Derby Rd (Caulfield North),145.04187187334654,-37.87569584328986
59-Dandenong Rd/Waverley Rd (Malvern East),145.0449520291811,-37.87574687251201
60-Burke Rd/Waverley Rd (Malvern East),145.04805198486207,-37.87587989172509
61-Tennyson St/Waverley Rd (Malvern East),145.05094206057913,-37.87623386098894
62-The Avenue/Waverley Rd (Malvern East),145.05469289562862,-37.876683860086516
63-Oak Gr/Waverley Rd (Malvern East),145.0565519355778,-37.87690382007383
27-Park St/Montague St (South Melbourne),144.9541820029061,-37.83750883065604
28-Montague St/Bridport St (Albert Park),144.95538981064695,-37.84066585080645
29-Bridport St/Victoria Ave (Albert Park),144.9533428517373,-37.84154983055331
30-Richardson St/Victoria Ave (Albert Park),144.95128905683072,-37.84392880030568
31-Graham St/Victoria Ave (Albert Park),144.94983213757894,-37.84566085026322
32-Beaconsfield Pde/Victoria Ave (Albert Park),144.948734851641,-37.84711084047997
124-Walsh St/Toorak Rd (South Yarra),144.98457104309605,-37.83817681164641
125-Punt Rd/Toorak Rd (South Yarra),144.98674688468935,-37.838403881963096
126-Myrtle St/Toorak Rd (South Yarra),144.9895098869189,-37.83877486239422
127-South Yarra Railway Station/Toorak Rd (South Yarra),144.9921710092381,-37.83911785284379
128-Chapel St/Toorak Rd (South Yarra),144.99582897026616,-37.83956785339982
129-Tivoli Rd/Toorak Rd (South Yarra),144.99867188457034,-37.839913813568394
130-Hawksburn Rd/Toorak Rd (South Yarra),145.0023420769492,-37.84035481383549
131-Williams Rd/Toorak Rd (Toorak),145.00536607044657,-37.84071184409615
132-Toorak Village/Toorak Rd (Toorak),145.00845810359544,-37.84107985440288
133-Canterbury Rd/Toorak Rd (Toorak),145.01089385978665,-37.841373884966536
43-Deepdene Shopping Centre/Whitehorse Rd (Balwyn),145.0648830434417,-37.8109118648619
119-Park St/Lygon St (Carlton North),144.9704770320418,-37.77940383743978
120-Brunswick Rd/Lygon St (Brunswick),144.970640113051,-37.77844182708336
121-Weston St/Lygon St (Brunswick East),144.97097707578212,-37.77565380607065
122-Glenlyon Rd/Lygon St (Brunswick East),144.97142095849904,-37.77272385502155
123-Albert St/Lygon St (Brunswick East),144.9719559205305,-37.76976780409138
124-Victoria St/Lygon St (Brunswick East),144.97223707831375,-37.768186864307864
125-Blyth St/Lygon St (Brunswick East),144.97251787616648,-37.76665083451797
126-Stewart St/Lygon St (Brunswick East),144.9729081130529,-37.764413794823426
127-Albion St/Lygon St (Brunswick East),144.97327099020117,-37.76235585510397
128-Mitchell St/Holmes St (Brunswick East),144.97433982608632,-37.759373795510854
129-Moreland Rd/Holmes St (Brunswick),144.97475994266173,-37.75686684585076
130-Barrow St/Moreland Rd (Coburg),144.97015878165848,-37.756192835936396
131-De Carle St/Moreland Rd (Coburg),144.9665260210253,-37.755796835986594
132-Sydney Rd/Moreland Rd (Coburg),144.96428501971184,-37.75555086574796
133-Moreland Station/Moreland Rd (Coburg),144.96238709668927,-37.75524684504781
130-The Avenue/Nicholson St (Coburg),144.97595082152387,-37.753552865970015
45-Glenferrie Rd/Wattletree Rd (Malvern),145.02851404795643,-37.862441808953974
44-Duncraig Ave/Wattletree Rd (Armadale),145.02538780350505,-37.8620558883984
42-Clyde St/Raleigh Rd (Maribyrnong),144.89884713117308,-37.76968581130787
43-Egerton Rd/Wattletree Rd (Armadale),145.02275980210135,-37.86169687804493
50-Vincent St/Wattletree Rd (Malvern East),145.04338097998505,-37.864212830983625
42-Kooyong Rd/Wattletree Rd (Armadale),145.01990500129017,-37.861332827669884
51-Erica Ave/Wattletree Rd (Malvern East),145.0465770563512,-37.86459983078716
38-Renown St/Sydney Rd (Coburg),144.96427207171413,-37.731605823836524
28-Punt Rd/High St (Prahran),144.9840529991083,-37.850550822575414
44-Barb St/Raleigh Rd (Maribyrnong),144.89199092152285,-37.76887779043609
29-Perth St/High St (Prahran),144.98773291750982,-37.85103682291564
30-Prahran Station/High St (Prahran),144.98973703622264,-37.85130583304796
31-Chapel St/High St (Prahran),144.99321499340297,-37.851742873188925
45-Randall St/Raleigh Rd (Maribyrnong),144.88894388059018,-37.76861580030268
32-Hornby St/High St (Prahran),144.99644202883928,-37.85218585347361
52-Burke Rd/Wattletree Rd (Malvern East),145.0500769723763,-37.865062880526644
33-The Avenue/High St (Prahran),144.99809478581793,-37.85242084377467
34-Bell St/Sydney Rd (Coburg),144.96647598282254,-37.741457856021086
33-Coburg Market/Sydney Rd (Coburg),144.96615378212155,-37.74324579606667
32-Munro St/Sydney Rd (Coburg),144.96584382151917,-37.74505182610017
31-Reynard St/Sydney Rd (Coburg),144.9652098605667,-37.74872679613602
30-The Avenue/Sydney Rd (Coburg),144.96464177980886,-37.75205985597533
34-Lewisham Rd/High St (Prahran),144.9996910230623,-37.85263783407306
28-Moreland Rd/Sydney Rd (Brunswick),144.96402185949754,-37.755626825641244
27-Brunswick Tram Depot/Sydney Rd (Brunswick),144.9636449427076,-37.757801855306944
26-Albion St/Sydney Rd (Brunswick),144.96309306787967,-37.76094582492696
25-Stewart St/Sydney Rd (Brunswick),144.96270103201635,-37.76321886473115
24-Brunswick Baptist Church/Sydney Rd (Brunswick),144.9623079166237,-37.76556480459661
