streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
17 Liddiard Street,1200.0,4.0,1.0,4.0,Hawthorn,VIC,3122,House,"['Melbourne Girls College', 'Auburn High School', ""Methodist Ladies' College"", 'Bulleen Heights School', 'Erasmus Primary School', ""St Joseph's School"", 'Glenferrie Primary School', 'Carey Baptist Grammar School', 'Trinity Grammar School Kew', 'Rossbourne School', 'Sacred Heart School', 'Preshil, The Margaret Lyttle Memorial School - Blackhall-Kalimna Preshil Senior School', 'Xavier College', 'Bulleen Heights School-Manningham Road Campus', 'Swinburne Senior Secondary College', ""Ruyton Girls' School""]",FTTC,20 - 39,"{'latitude': -37.8188133, 'longitude': 145.0378893}"
211/9 Foundation Boulevard,720.0,2.0,2.0,1.0,Burwood East,VIC,3151,Apartment,"['SEDA College (Victoria) - Basketball Burwood', 'Avila College', 'Holy Family School', ""St Scholastica's School"", 'Orchard Grove Primary School', 'Bulleen Heights School', 'Vermont South Special School', 'St Luke the Evangelist School', 'Mount Waverley Secondary College', 'Kingswood College', ""St Christopher's School"", 'Frank Dando Sports Academy', ""Presbyterian Ladies' College"", 'Bulleen Heights School-Manningham Road Campus', 'Mount Scopus Memorial College']",,balanced age,
18/82 Grey Street,300.0,1.0,1.0,1.0,St Kilda,VIC,3182,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Wesley College', 'Cheder Levi Yitzchok Inc', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Mary's School"", ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'St Kilda Park Primary School', 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",HFC,balanced age,
17 Olympic Parade,350.0,3.0,1.0,0.0,Kangaroo Flat,VIC,3555,House,"['Girton Grammar School', 'Crusoe 7-10 Secondary College', 'Kangaroo Flat Primary School', ""St Joseph's School"", 'Bendigo Senior Secondary College', ""St Monica's School"", 'Girton Grammar School - Junior School', 'Creek Street Christian College', 'OneSchool Global Vic - Bendigo Centre']",FTTN,balanced age,
14/4 Victoria Street,720.0,2.0,2.0,1.0,Windsor,VIC,3181,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Wesley College', 'Hester Hornbrook Academy - Prahran Campus', 'Windsor Primary School', 'Cheder Levi Yitzchok Inc', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTB,balanced age,"{'latitude': -37.8525244, 'longitude': 144.9935664}"
1/243 Blyth Street,530.0,2.0,1.0,1.0,Brunswick East,VIC,3057,Apartment,"['Deutsche Schule Melbourne', 'Santa Maria College', 'Antonine College - Cedar Campus', 'Croxton Special School', ""St Bernard's School"", 'Northcote High School', ""St Joseph's School"", 'Hester Hornbrook Academy - North Fitzroy Campus', ""St Margaret Mary's School"", ""St Mary's School"", 'Our Lady Help of Christians School', 'Fitzroy Community School - Thornbury Campus', 'Brunswick East Primary School']",FTTP,balanced age,"{'latitude': -37.767191, 'longitude': 144.982928}"
205/4 Station Street,530.0,2.0,1.0,1.0,Blackburn,VIC,3130,Apartment,"['Nunawading Christian College - Secondary', ""St Francis Xavier's School"", 'Blackburn High School', 'St Thomas the Apostle School', 'Berengarra School', 'Bulleen Heights School', 'Vermont South Special School', 'Blackburn Primary School', 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', ""St Philip's School"", ""Ss Peter & Paul's School"", 'Bulleen Heights School-Manningham Road Campus', 'St Luke the Evangelist School', 'Nunawading Christian College - Primary']",HFC,balanced age,
1a Lucas Street,1195.0,3.0,2.0,1.0,Brighton East,VIC,3187,House,"['Brighton Secondary College', 'Xavier College - Kostka Hall', ""St Leonard's College"", 'Melbourne Montessori School - Brighton East Campus', 'Haileybury College - Brighton Girls', 'Haileybury College - Brighton Boys', 'St Joan of Arc School', ""St Mary's School"", 'Southern Autistic School', 'Brighton Beach Primary School', 'Haileybury Girls College - Brighton Campus', 'Xavier College - Billilla Annex Campus', ""St Finbar's School""]",HFC,balanced age,"{'latitude': -37.9222334, 'longitude': 145.0061177}"
1303/2 Glenti Place,650.0,1.0,1.0,1.0,Docklands,VIC,3008,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTP,20 - 39,
501/109 York Street,715.0,2.0,2.0,1.0,South Melbourne,VIC,3205,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'South Melbourne Primary School', 'Youth2Industry College', 'Melbourne Grammar School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTP,20 - 39,
Room 6/93 McMahons Road,305.0,1.0,1.0,0.0,Frankston,VIC,3199,Apartment,"[""St John's School"", 'Woodleigh School - Minimbah Campus', 'Frankston Special Developmental School', ""St Anne's School"", 'David Scott School', 'John Paul College', 'SEDA College (Victoria) - Frankston Park Function Centre', 'Foundation Learning Centre - Peninsula Campus', 'St Francis Xavier School', 'Naranga Special School', 'Southern Autistic School', 'Nepean Special School', ""St Augustine's School"", 'Monterey Secondary College', 'Frankston East Primary School', 'David Scott School - High Street Campus']",,balanced age,"{'latitude': -38.140567, 'longitude': 145.1378349}"
305/13 Wellington Street,540.0,1.0,1.0,1.0,St Kilda,VIC,3182,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTB,20 - 39,"{'latitude': -37.8561546, 'longitude': 144.9843612}"
1/8 Alexandra Street,485.0,1.0,1.0,1.0,South Yarra,VIC,3141,Apartment,"['Wesley College', 'Melbourne Girls College', 'Christ Church Grammar School', 'Kamaruka - Primary Campus', 'Kamaruka', 'South Yarra Primary School', 'Melbourne Grammar School', 'Hester Hornbrook Academy - Prahran Campus', 'Wesley College - St Kilda Road Junior Campus', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Southern Autistic School', 'Prahran High School', 'Melbourne Grammar School - Wadhurst Campus']",FTTC,balanced age,"{'latitude': -37.8407044, 'longitude': 144.9868248}"
204/642 Doncaster Road,680.0,2.0,2.0,1.0,Doncaster,VIC,3108,Apartment,"['St Gregory the Great School', 'SEDA College (Victoria) - Cross Keys Reserve Campus', ""St Francis Xavier's School"", 'Berengarra School', 'Bulleen Heights School', ""St Bridget's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Doncaster Primary School', 'Our Lady of Sion College', ""St Kevin's School"", ""Ss Peter & Paul's School"", 'Bulleen Heights School-Manningham Road Campus', 'Doncaster Secondary College', 'St Charles Borromeo School']",FTTP,balanced age,
2505a/845 Whitehorse Road,880.0,3.0,2.0,1.0,Box Hill,VIC,3128,Apartment,"['Our Lady of Perpetual Succour School', 'Koonung Secondary College', ""St Paul's College"", ""St Francis Xavier's School"", 'Box Hill Senior Secondary College', 'Our Holy Redeemer School', 'Berengarra School', 'Bulleen Heights School', ""St Bridget's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', 'Kingswood College', 'Mont Albert Primary School', ""Fintona Girls' School"", 'Bulleen Heights School-Manningham Road Campus']",,20 - 39,
3/65 Tennyson Street,500.0,2.0,1.0,1.0,Elwood,VIC,3184,Apartment,"['Sholem Aleichem College - Senior Campus', 'Elwood Primary School', 'Adass Israel School - Glen Eira Road Campus', 'Beth Rivkah Ladies College', 'Caulfield Grammar School', 'Mount Scopus Memorial College - Gandel Besen House Campus', ""Christian Brothers' College - Balaclava Campus"", ""St Columba's School"", ""St Joseph's School"", 'Port Phillip Specialist School', 'Sholem Aleichem College', 'Southern Autistic School', 'Yesodei HaTorah College', 'Elwood College']",HFC,balanced age,"{'latitude': -37.8787507, 'longitude': 144.9896687}"
1/14 Ellen Ave,625.0,3.0,2.0,2.0,Keilor East,VIC,3033,House,"['Our Lady of the Nativity School', 'Essendon Keilor College', ""St Bernard's College"", ""St Margaret's Primary School"", 'Resurrection House', ""St Christopher's School"", 'St Martin de Porres School', 'Rosamond Special School', ""St John Bosco's School"", 'Furlong Park School For Deaf Children', ""St Peter's School"", 'Keilor Heights Primary School', 'Penleigh & Essendon Grammar School', 'Ave Maria College']",HFC,balanced age,
2*03/228 La Trobe Street,820.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTP,20 - 39,
3806/80 A'Beckett Street,695.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",,20 - 39,"{'latitude': -37.8089991, 'longitude': 144.9610792}"
307/6 St Kilda Rd,575.0,1.0,1.0,0.0,St Kilda,VIC,3182,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Cheder Levi Yitzchok Inc', 'Hester Hornbrook Academy - Prahran Campus', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTP,20 - 39,
15 Condenser Drive,770.0,3.0,2.0,1.0,Yarraville,VIC,3013,Townhouse/Villa,"[""St John's School"", 'Footscray City College', 'Australian Islamic Centre College', 'Westbourne Grammar School - Williamstown Campus', 'Annunciation School', 'Corpus Christi School', 'Yarraville West Primary School', 'Yarraville Special Developmental School', 'Westbourne Grammar School', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", ""St Monica's School"", 'Footscray High School', 'Furlong Park School For Deaf Children']",FTTP,balanced age,"{'latitude': -37.8219411, 'longitude': 144.8888466}"
14 Malabar Walk,560.0,3.0,2.0,2.0,Bundoora,VIC,3083,House,"[""St Luke's School"", ""St Monica's College"", ""St Monica's College - Dalton Road Campus"", 'Findon Primary School', 'St John XXIII Primary School', ""St Peter's School"", 'Lalor Secondary College', 'Loyola College', 'Merriang Special Developmental School', ""St Damian's School"", 'Northside Christian College', 'Parade College', 'St Francis of Assisi School']",FTTP,balanced age,"{'latitude': -37.677542, 'longitude': 145.0499361}"
2/10 Empire Street,450.0,2.0,1.0,1.0,Footscray,VIC,3011,Apartment,"[""St John's School"", 'Footscray City College', 'Corpus Christi School', 'Christ the King Primary School', ""St Margaret's Primary School"", 'Footscray North Primary School', 'Rosamond Special School', ""St Monica's School"", ""St Mary's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Netball Ascot Vale', 'Caroline Chisholm Catholic College - Christ The King Campus', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",HFC,20 - 39,"{'latitude': -37.7900386, 'longitude': 144.89145}"
25 Inglewood Drive,530.0,4.0,2.0,2.0,Werribee,VIC,3030,House,"['Walcom Ngarrwa Secondary College', 'Manor Lakes P-12 College', 'Wyndham Central Secondary College', ""St Joseph's Catholic Primary School"", 'Christway College - Wyndham', ""St Andrew's School"", 'Our Lady of the Southern Cross', 'Wyndham Vale Primary School']",,balanced age,
210 Boundary Road,680.0,3.0,1.0,2.0,Pascoe Vale,VIC,3044,House,"['Ilim College - Glenroy Campus', 'Mercy College', 'Corpus Christi School', 'SEDA College (Victoria) - AFL Victoria & Cricket Australia Sports Development Program - Strathmore', 'St Francis de Sales School', ""St Mark's School"", ""St Oliver Plunkett's School"", 'Pascoe Vale Girls Secondary College', 'Australian International Academy of Education - Senior Campus', 'Glenroy Private', ""St Thomas More's School"", 'Westbreen Primary School', 'Glenroy Secondary College']",FTTC,balanced age,"{'latitude': -37.7167344, 'longitude': 144.9415466}"
1106/91 Galada Avenue,490.0,1.0,1.0,1.0,Parkville,VIC,3052,Apartment,"['SEDA College (Victoria) - MC North Melbourne YMCA', 'Mount Alexander 7-12 College', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', ""St Brendan's School"", 'Holy Rosary School', ""St Michael's Primary School"", ""St Joseph's School"", 'SEDA College (Victoria) - Cricket Australia -  Carlton', 'St Aloysius College', ""St Mary's School"", 'Flemington Primary School', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville']",FTTP,20 - 39,"{'latitude': -37.7785874, 'longitude': 144.9392004}"
15 Hawksburn Road,560.0,3.0,2.0,2.0,Traralgon,VIC,3844,House,"[""Lavalla Catholic College - St Paul's Campus"", ""St Gabriel's School"", 'Traralgon College', ""St Paul's Anglican Grammar School - Traralgon Campus"", 'Flinders Christian Community College - Traralgon Campus', 'Lavalla Catholic College', 'Chairo Christian School - Traralgon Campus', 'SEDA College (Victoria) - AFL Traralgon & Multi 2 Traralgon', 'Traralgon (Liddiard Road) Primary School', ""St Michael's School""]",FTTN,balanced age,
276 Ascot Vale Road,1500.0,3.0,2.0,4.0,Ascot Vale,VIC,3032,House,"['Lowther Hall Anglican Grammar School', 'SEDA College (Victoria) - Netball Ascot Vale', 'Mount Alexander 7-12 College', ""St Brendan's School"", ""St Joseph's School"", ""St Columba's College"", 'Ascot Vale Primary School', 'Furlong Park School For Deaf Children', ""St Mary's School"", ""St Bernard's College - Resurrection House Campus"", ""St Monica's Primary School"", 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', 'Penleigh & Essendon Grammar School - Essendon Campus']",FTTC,balanced age,"{'latitude': -37.7727335, 'longitude': 144.9242461}"
4/55 Britannia Street,440.0,2.0,1.0,2.0,Geelong West,VIC,3218,Apartment,"['Ashby Primary School', 'Indie School Geelong', 'Holy Spirit Parish School', ""St Joseph's College Geelong - Westcourt Campus"", ""St Patrick's School"", ""St John's Lutheran School Geelong"", 'Clonard College', 'SEDA College (Victoria) - BVNV Geelong', 'The Geelong College Preparatory School', ""Geelong Lutheran College - St John's Newtown Campus"", 'Nelson Park School', 'Sacred Heart College', 'Western Heights Secondary College', 'Matthew Flinders Girls Secondary College']",FTTN,balanced age,
